,date,Température maximale,Température minimale,Vitesse du vent,Température du vent,Humidité,Visibilité,Couverture nuageuse,Indice de chaleur,Point de rosée,Pression,Heure du lever du soleil,Heure du coucher du soleil,Heure du coucher du soleil,Durée du jour
1707,17/09/2013,29°,27°,21km/h,28°,1mm,52%,10km,17%,30,18°C,1013hPa,06:03:00,18:24:00,12:21:0
1708,18/09/2013,26°,25°,27km/h,25°,0mm,61%,10km,28%,27,18°C,1014hPa,06:04:00,18:22:00,12:18:0
1709,19/09/2013,26°,25°,13km/h,25°,0mm,52%,10km,24%,27,16°C,1013hPa,06:05:00,18:20:00,12:15:0
1710,20/09/2013,26°,24°,26km/h,24°,1mm,57%,9.875km,35%,26,17°C,1018hPa,06:05:00,18:19:00,12:14:0
1711,21/09/2013,25°,24°,21km/h,24°,1mm,59%,10km,27%,26,18°C,1021hPa,06:06:00,18:17:00,12:11:0
1712,22/09/2013,26°,24°,22km/h,24°,2mm,64%,9.875km,38%,27,18°C,1022hPa,06:07:00,18:16:00,12:9:0
1713,23/09/2013,26°,24°,16km/h,24°,1mm,61%,10km,9%,27,18°C,1021hPa,06:08:00,18:14:00,12:6:0
1714,24/09/2013,27°,24°,13km/h,27°,0mm,53%,10km,1%,29,19°C,1019hPa,06:09:00,18:13:00,12:4:0
1715,25/09/2013,31°,27°,12km/h,27°,54%,10km,14%,31,18°C,1017hPa,06:09:00,18:11:00,12:2:0,
1716,26/09/2013,29°,27°,14km/h,28°,55%,10km,6%,32,20°C,1016hPa,06:10:00,18:10:00,12:0:0,
1717,27/09/2013,29°,25°,12km/h,29°,60%,10km,0%,32,22°C,1017hPa,06:11:00,18:08:00,11:57:0,
1718,28/09/2013,32°,28°,17km/h,28°,0mm,58%,10km,11%,34,21°C,1014hPa,06:12:00,18:07:00,11:55:0
1719,29/09/2013,29°,27°,21km/h,28°,1mm,66%,9.625km,22%,31,22°C,1012hPa,06:13:00,18:06:00,11:53:0
1720,30/09/2013,28°,26°,35km/h,26°,0mm,55%,10km,26%,28,18°C,1011hPa,06:14:00,18:04:00,11:50:0
1721,1/10/2013,28°,26°,26km/h,26°,61%,10km,15%,29,20°C,1012hPa,06:14:00,18:03:00,11:49:0,
1722,2/10/2013,29°,27°,13km/h,28°,59%,10km,7%,32,21°C,1015hPa,06:15:00,18:01:00,11:46:0,
1723,3/10/2013,28°,26°,23km/h,26°,68%,10km,24%,30,21°C,1019hPa,06:16:00,18:00:00,11:44:0,
1724,4/10/2013,30°,27°,27km/h,28°,0mm,69%,9.75km,20%,33,22°C,1020hPa,06:17:00,17:58:00,11:41:0
1725,5/10/2013,31°,28°,15km/h,28°,10mm,65%,9.125km,29%,35,22°C,1020hPa,06:18:00,17:57:00,11:39:0
1726,6/10/2013,26°,24°,23km/h,25°,1mm,74%,9.5km,34%,28,22°C,1020hPa,06:19:00,17:55:00,11:36:0
1727,7/10/2013,25°,23°,7km/h,23°,0mm,59%,10km,34%,26,17°C,1021hPa,06:19:00,17:54:00,11:35:0
1728,8/10/2013,25°,23°,8km/h,24°,1mm,58%,9.875km,18%,27,17°C,1021hPa,06:20:00,17:53:00,11:33:0
1729,9/10/2013,25°,23°,9km/h,24°,1mm,63%,9.875km,17%,27,18°C,1021hPa,06:21:00,17:51:00,11:30:0
1730,10/10/2013,26°,24°,10km/h,25°,1mm,67%,9.75km,29%,28,20°C,1018hPa,06:22:00,17:50:00,11:28:0
1731,11/10/2013,27°,25°,14km/h,26°,0mm,65%,10km,9%,30,20°C,1015hPa,06:23:00,17:48:00,11:25:0
1732,12/10/2013,30°,28°,17km/h,28°,55%,10km,5%,32,20°C,1018hPa,06:24:00,17:47:00,11:23:0,
1733,13/10/2013,27°,24°,9km/h,26°,75%,10km,23%,30,21°C,1019hPa,06:25:00,17:46:00,11:21:0,
1734,14/10/2013,27°,25°,9km/h,25°,75%,10km,30%,30,21°C,1020hPa,06:26:00,17:44:00,11:18:0,
1735,15/10/2013,28°,25°,8km/h,25°,70%,10km,49%,29,20°C,1021hPa,06:27:00,17:43:00,11:16:0,
1736,16/10/2013,27°,25°,37km/h,25°,61%,10km,15%,28,19°C,1018hPa,06:27:00,17:42:00,11:15:0,
1737,17/10/2013,26°,24°,32km/h,24°,64%,10km,6%,27,19°C,1018hPa,06:28:00,17:40:00,11:12:0,
1738,18/10/2013,27°,24°,10km/h,26°,49%,10km,3%,29,18°C,1018hPa,06:29:00,17:39:00,11:10:0,
1739,19/10/2013,28°,25°,21km/h,25°,76%,10km,40%,30,21°C,1020hPa,06:30:00,17:38:00,11:8:0,
1740,20/10/2013,28°,26°,26km/h,26°,69%,10km,9%,30,20°C,1022hPa,06:31:00,17:36:00,11:5:0,
1741,21/10/2013,27°,25°,21km/h,25°,63%,10km,6%,28,19°C,1022hPa,06:32:00,17:35:00,11:3:0,
1742,22/10/2013,27°,24°,22km/h,24°,61%,10km,4%,27,18°C,1021hPa,06:33:00,17:34:00,11:1:0,
1743,23/10/2013,28°,24°,23km/h,24°,63%,10km,4%,28,18°C,1019hPa,06:34:00,17:33:00,10:59:0,
1744,24/10/2013,27°,24°,18km/h,25°,57%,10km,24%,28,17°C,1020hPa,06:35:00,17:31:00,10:56:0,
1745,25/10/2013,27°,25°,19km/h,25°,60%,10km,12%,28,19°C,1019hPa,06:36:00,17:30:00,10:54:0,
1746,26/10/2013,26°,24°,26km/h,24°,68%,10km,8%,27,19°C,1022hPa,06:37:00,17:29:00,10:52:0,
1747,27/10/2013,26°,24°,14km/h,24°,66%,10km,11%,29,18°C,1023hPa,06:38:00,17:28:00,10:50:0,
1748,28/10/2013,27°,24°,9km/h,26°,60%,10km,1%,30,20°C,1023hPa,06:39:00,17:27:00,10:48:0,
1749,29/10/2013,27°,24°,16km/h,24°,0mm,40%,10km,10%,27,12°C,1018hPa,06:40:00,17:26:00,10:46:0
1750,30/10/2013,25°,23°,15km/h,24°,1mm,57%,9.75km,27%,27,15°C,1016hPa,06:41:00,17:25:00,10:44:0
1751,31/10/2013,23°,21°,4km/h,23°,3mm,60%,9.75km,17%,25,16°C,1020hPa,06:42:00,17:23:00,10:41:0
1752,1/11/2013,23°,20°,9km/h,21°,1mm,59%,10km,15%,25,14°C,1022hPa,06:43:00,17:22:00,10:39:0
1753,2/11/2013,22°,20°,8km/h,21°,0mm,59%,10km,12%,25,15°C,1021hPa,06:44:00,17:21:00,10:37:0
1754,3/11/2013,25°,21°,10km/h,22°,57%,10km,6%,28,15°C,1020hPa,06:45:00,17:20:00,10:35:0,
1755,4/11/2013,25°,22°,8km/h,23°,0mm,42%,10km,10%,28,13°C,1017hPa,06:46:00,17:19:00,10:33:0
1756,5/11/2013,21°,20°,46km/h,20°,5mm,56%,9.5km,42%,24,14°C,1007hPa,06:47:00,17:18:00,10:31:0
1757,6/11/2013,23°,22°,51km/h,22°,1mm,61%,9.875km,21%,25,17°C,1017hPa,06:48:00,17:17:00,10:29:0
1758,7/11/2013,24°,22°,21km/h,22°,0mm,69%,10km,11%,25,19°C,1020hPa,06:49:00,17:17:00,10:28:0
1759,8/11/2013,25°,21°,9km/h,23°,59%,10km,2%,29,18°C,1020hPa,06:50:00,17:16:00,10:26:0,
1760,9/11/2013,23°,22°,14km/h,23°,0mm,69%,10km,26%,25,17°C,1019hPa,06:51:00,17:15:00,10:24:0
1761,10/11/2013,21°,20°,29km/h,20°,1mm,68%,9.625km,44%,21,16°C,1020hPa,06:52:00,17:14:00,10:22:0
1762,11/11/2013,17°,16°,53km/h,16°,4mm,56%,9.875km,53%,18,13°C,1013hPa,06:53:00,17:13:00,10:20:0
1763,12/11/2013,17°,14°,26km/h,17°,3mm,72%,9.625km,48%,17,13°C,1008hPa,06:54:00,17:12:00,10:18:0
1764,13/11/2013,19°,18°,21km/h,18°,1mm,68%,9.875km,24%,19,13°C,1015hPa,06:55:00,17:12:00,10:17:0
1765,14/11/2013,20°,19°,25km/h,19°,1mm,74%,9.875km,54%,20,14°C,1015hPa,06:56:00,17:11:00,10:15:0
1766,15/11/2013,17°,14°,27km/h,17°,1mm,62%,10km,37%,18,13°C,1015hPa,06:57:00,17:10:00,10:13:0
1767,16/11/2013,19°,16°,9km/h,18°,0mm,58%,10km,11%,19,11°C,1018hPa,06:58:00,17:09:00,10:11:0
1768,17/11/2013,21°,18°,23km/h,18°,0mm,75%,10km,13%,21,15°C,1019hPa,07:00:00,17:09:00,10:9:0
1769,18/11/2013,23°,21°,43km/h,21°,1mm,69%,10km,16%,25,15°C,1013hPa,07:01:00,17:08:00,10:7:0
1770,19/11/2013,19°,16°,28km/h,16°,0mm,46%,10km,10%,19,11°C,1007hPa,07:02:00,17:08:00,10:6:0
1771,20/11/2013,18°,16°,21km/h,16°,62%,9.875km,17%,19,10°C,1011hPa,07:03:00,17:07:00,10:4:0,
1772,21/11/2013,15°,13°,24km/h,11°,0mm,69%,10km,20%,15,9°C,1012hPa,07:04:00,17:07:00,10:3:0
1773,22/11/2013,17°,14°,27km/h,13°,1mm,52%,10km,15%,17,8°C,1007hPa,07:05:00,17:06:00,10:1:0
1774,23/11/2013,15°,12°,20km/h,10°,0mm,60%,10km,14%,15,6°C,1007hPa,07:06:00,17:06:00,10:0:0
1775,24/11/2013,14°,12°,36km/h,9°,1mm,66%,10km,47%,14,8°C,1008hPa,07:07:00,17:05:00,9:58:0
1776,25/11/2013,15°,13°,24km/h,12°,1mm,69%,10km,25%,15,8°C,1012hPa,07:08:00,17:05:00,9:57:0
1777,26/11/2013,13°,12°,22km/h,10°,1mm,63%,10km,57%,13,8°C,1019hPa,07:09:00,17:04:00,9:55:0
1778,27/11/2013,13°,11°,10km/h,11°,1mm,60%,10km,39%,13,6°C,1022hPa,07:10:00,17:04:00,9:54:0
1779,28/11/2013,14°,12°,12km/h,12°,1mm,69%,9.875km,17%,14,8°C,1023hPa,07:11:00,17:04:00,9:53:0
1780,29/11/2013,13°,12°,19km/h,11°,1mm,69%,10km,25%,13,8°C,1024hPa,07:12:00,17:04:00,9:52:0
1781,30/11/2013,13°,12°,30km/h,10°,0mm,69%,10km,46%,13,8°C,1019hPa,07:13:00,17:03:00,9:50:0
1782,1/12/2013,13°,12°,39km/h,9°,5mm,85%,9.75km,80%,13,10°C,1008hPa,07:14:00,17:03:00,9:49:0
1783,2/12/2013,15°,12°,14km/h,11°,1mm,69%,10km,24%,15,8°C,1016hPa,07:14:00,17:03:00,9:49:0
1784,3/12/2013,15°,13°,14km/h,13°,1mm,72%,10km,23%,16,10°C,1021hPa,07:15:00,17:03:00,9:48:0
1785,4/12/2013,16°,15°,16km/h,15°,2mm,76%,10km,64%,16,11°C,1025hPa,07:16:00,17:03:00,9:47:0
1786,5/12/2013,16°,14°,21km/h,13°,1mm,79%,10km,48%,16,10°C,1025hPa,07:17:00,17:03:00,9:46:0
1787,6/12/2013,14°,12°,32km/h,11°,1mm,75%,10km,65%,15,10°C,1023hPa,07:18:00,17:03:00,9:45:0
1788,7/12/2013,15°,14°,30km/h,12°,1mm,73%,10km,59%,15,10°C,1027hPa,07:19:00,17:03:00,9:44:0
1789,8/12/2013,16°,13°,8km/h,16°,0mm,73%,10km,4%,18,11°C,1029hPa,07:20:00,17:03:00,9:43:0
1790,9/12/2013,16°,14°,4km/h,15°,63%,10km,3%,19,12°C,1030hPa,07:21:00,17:03:00,9:42:0,
1791,10/12/2013,16°,14°,14km/h,14°,71%,10km,18%,16,11°C,1032hPa,07:21:00,17:03:00,9:42:0,
1792,11/12/2013,16°,14°,14km/h,14°,79%,10km,52%,16,11°C,1034hPa,07:22:00,17:03:00,9:41:0,
1793,12/12/2013,15°,13°,7km/h,16°,80%,10km,4%,18,13°C,1034hPa,07:23:00,17:03:00,9:40:0,
1794,13/12/2013,15°,13°,8km/h,15°,76%,10km,11%,16,11°C,1029hPa,07:24:00,17:04:00,9:40:0,
1795,14/12/2013,15°,13°,13km/h,14°,0mm,71%,10km,13%,15,11°C,1031hPa,07:24:00,17:04:00,9:40:0
1796,15/12/2013,15°,13°,22km/h,12°,1mm,70%,10km,25%,15,9°C,1033hPa,07:25:00,17:04:00,9:39:0
1797,16/12/2013,16°,14°,14km/h,14°,0mm,72%,10km,25%,16,10°C,1033hPa,07:26:00,17:05:00,9:39:0
1798,17/12/2013,15°,13°,9km/h,16°,68%,10km,5%,17,11°C,1033hPa,07:26:00,17:05:00,9:39:0,
1799,18/12/2013,15°,12°,11km/h,11°,64%,10km,37%,15,7°C,1028hPa,07:27:00,17:05:00,9:38:0,
1800,19/12/2013,15°,13°,11km/h,13°,69%,10km,14%,16,10°C,1025hPa,07:27:00,17:06:00,9:39:0,
1801,20/12/2013,16°,13°,17km/h,12°,0mm,73%,10km,20%,16,11°C,1027hPa,07:28:00,17:06:00,9:38:0
1802,21/12/2013,16°,15°,22km/h,13°,1mm,76%,10km,50%,16,12°C,1031hPa,07:29:00,17:07:00,9:38:0
1803,22/12/2013,17°,16°,22km/h,16°,2mm,80%,9.875km,64%,17,13°C,1031hPa,07:29:00,17:07:00,9:38:0
1804,23/12/2013,16°,15°,15km/h,14°,0mm,79%,10km,60%,16,12°C,1027hPa,07:30:00,17:08:00,9:38:0
1805,24/12/2013,15°,14°,8km/h,13°,1mm,81%,10km,31%,16,11°C,1024hPa,07:30:00,17:08:00,9:38:0
1806,25/12/2013,16°,12°,18km/h,11°,0mm,68%,10km,23%,16,9°C,1020hPa,07:30:00,17:09:00,9:39:0
1807,26/12/2013,14°,12°,48km/h,9°,1mm,64%,9km,61%,14,8°C,1009hPa,07:31:00,17:10:00,9:39:0
1808,27/12/2013,14°,13°,52km/h,9°,2mm,67%,9.75km,26%,14,8°C,1015hPa,07:31:00,17:10:00,9:39:0
1809,28/12/2013,16°,13°,9km/h,12°,1mm,81%,10km,41%,19,13°C,1018hPa,07:31:00,17:11:00,9:40:0
1810,29/12/2013,16°,14°,11km/h,13°,1mm,73%,9.375km,47%,17,11°C,1022hPa,07:32:00,17:12:00,9:40:0
1811,30/12/2013,14°,12°,29km/h,10°,1mm,76%,9km,64%,14,9°C,1024hPa,07:32:00,17:12:00,9:40:0
1812,31/12/2013,14°,12°,33km/h,9°,0mm,72%,10km,13%,14,7°C,1024hPa,07:32:00,17:13:00,9:41:0
1813,1/01/2014,14°,11°,11km/h,10°,70%,10km,13%,15,7°C,1022hPa,07:32:00,17:14:00,9:42:0,
1814,2/01/2014,16°,12°,10km/h,12°,58%,10km,21%,17,8°C,1022hPa,07:33:00,17:15:00,9:42:0,
1815,3/01/2014,17°,14°,10km/h,15°,67%,10km,58%,17,11°C,1023hPa,07:33:00,17:16:00,9:43:0,
1816,4/01/2014,18°,15°,17km/h,14°,0mm,61%,10km,23%,19,11°C,1024hPa,07:33:00,17:16:00,9:43:0
1817,5/01/2014,14°,13°,40km/h,11°,1mm,64%,9.875km,19%,14,7°C,1018hPa,07:33:00,17:17:00,9:44:0
1818,6/01/2014,15°,13°,29km/h,11°,1mm,76%,9.875km,38%,15,9°C,1023hPa,07:33:00,17:18:00,9:45:0
1819,7/01/2014,15°,12°,9km/h,15°,0mm,76%,10km,2%,17,11°C,1026hPa,07:33:00,17:19:00,9:46:0
1820,8/01/2014,15°,12°,10km/h,12°,74%,10km,2%,17,10°C,1027hPa,07:33:00,17:20:00,9:47:0,
1821,9/01/2014,16°,13°,11km/h,12°,72%,10km,7%,17,9°C,1025hPa,07:33:00,17:21:00,9:48:0,
1822,10/01/2014,17°,14°,8km/h,14°,62%,10km,23%,18,10°C,1021hPa,07:33:00,17:22:00,9:49:0,
1823,11/01/2014,17°,14°,9km/h,14°,0mm,61%,10km,21%,17,10°C,1020hPa,07:32:00,17:23:00,9:51:0
1824,12/01/2014,16°,15°,26km/h,13°,2mm,80%,9.875km,55%,16,12°C,1021hPa,07:32:00,17:24:00,9:52:0
1825,13/01/2014,16°,13°,17km/h,12°,1mm,84%,9.875km,45%,16,11°C,1022hPa,07:32:00,17:25:00,9:53:0
1826,14/01/2014,13°,12°,18km/h,11°,2mm,85%,8.875km,69%,13,10°C,1018hPa,07:32:00,17:26:00,9:54:0
1827,15/01/2014,14°,11°,28km/h,9°,2mm,73%,9.875km,27%,14,8°C,1017hPa,07:31:00,17:27:00,9:56:0
1828,16/01/2014,14°,12°,19km/h,12°,1mm,74%,10km,30%,15,8°C,1020hPa,07:31:00,17:28:00,9:57:0
1829,17/01/2014,17°,13°,21km/h,11°,0mm,69%,10km,8%,17,9°C,1015hPa,07:31:00,17:29:00,9:58:0
1830,18/01/2014,17°,14°,20km/h,12°,0mm,64%,10km,22%,18,9°C,1012hPa,07:30:00,17:30:00,10:0:0
1831,19/01/2014,18°,14°,27km/h,12°,1mm,58%,9.875km,48%,18,9°C,1005hPa,07:30:00,17:31:00,10:1:0
1832,20/01/2014,15°,13°,44km/h,10°,0mm,62%,10km,16%,15,6°C,1013hPa,07:30:00,17:32:00,10:2:0
1833,21/01/2014,13°,11°,41km/h,7°,1mm,65%,10km,16%,13,6°C,1018hPa,07:29:00,17:33:00,10:4:0
1834,22/01/2014,15°,11°,12km/h,11°,0mm,57%,10km,10%,17,6°C,1018hPa,07:29:00,17:34:00,10:5:0
1835,23/01/2014,15°,12°,8km/h,12°,2mm,61%,9.875km,43%,15,9°C,1017hPa,07:28:00,17:35:00,10:7:0
1836,24/01/2014,13°,10°,45km/h,9°,1mm,75%,9.875km,46%,13,9°C,1017hPa,07:27:00,17:36:00,10:9:0
1837,25/01/2014,13°,12°,41km/h,8°,2mm,67%,9.875km,19%,13,8°C,1014hPa,07:27:00,17:37:00,10:10:0
1838,26/01/2014,15°,14°,55km/h,11°,1mm,74%,10km,26%,15,10°C,1014hPa,07:26:00,17:38:00,10:12:0
1839,27/01/2014,16°,14°,34km/h,11°,1mm,73%,9.875km,63%,16,11°C,1013hPa,07:26:00,17:39:00,10:13:0
1840,28/01/2014,12°,11°,36km/h,8°,3mm,72%,9.75km,31%,12,9°C,1007hPa,07:25:00,17:40:00,10:15:0
1841,29/01/2014,15°,11°,15km/h,9°,0mm,58%,10km,20%,15,5°C,1008hPa,07:24:00,17:42:00,10:18:0
1842,30/01/2014,17°,14°,22km/h,13°,0mm,72%,10km,59%,17,11°C,1006hPa,07:23:00,17:43:00,10:20:0
1843,31/01/2014,13°,12°,21km/h,10°,2mm,91%,9km,86%,13,11°C,1010hPa,07:23:00,17:44:00,10:21:0
1844,1/02/2014,13°,11°,31km/h,9°,0mm,76%,10km,44%,13,8°C,1013hPa,07:22:00,17:45:00,10:23:0
1845,2/02/2014,15°,12°,49km/h,9°,1mm,75%,10km,34%,15,8°C,1015hPa,07:21:00,17:46:00,10:25:0
1846,3/02/2014,14°,10°,26km/h,7°,1mm,67%,10km,11%,14,5°C,1016hPa,07:20:00,17:47:00,10:27:0
1847,4/02/2014,15°,11°,9km/h,11°,1mm,54%,9.875km,29%,15,7°C,1019hPa,07:19:00,17:48:00,10:29:0
1848,5/02/2014,16°,10°,18km/h,9°,1mm,66%,9.375km,34%,16,8°C,1019hPa,07:18:00,17:49:00,10:31:0
1849,6/02/2014,17°,15°,23km/h,13°,0mm,75%,10km,22%,17,11°C,1020hPa,07:17:00,17:50:00,10:33:0
1850,7/02/2014,19°,15°,30km/h,14°,0mm,70%,10km,8%,19,11°C,1019hPa,07:16:00,17:51:00,10:35:0
1851,8/02/2014,16°,13°,21km/h,11°,1mm,69%,9.875km,23%,17,9°C,1020hPa,07:16:00,17:52:00,10:36:0
1852,9/02/2014,17°,15°,36km/h,15°,0mm,66%,10km,31%,17,10°C,1016hPa,07:14:00,17:53:00,10:39:0
1853,10/02/2014,19°,15°,28km/h,13°,0mm,63%,10km,28%,19,11°C,1014hPa,07:13:00,17:54:00,10:41:0
1854,11/02/2014,13°,10°,48km/h,7°,1mm,82%,9.875km,55%,13,9°C,1014hPa,07:12:00,17:55:00,10:43:0
1855,12/02/2014,13°,11°,42km/h,8°,1mm,71%,9.875km,38%,14,8°C,1018hPa,07:11:00,17:56:00,10:45:0
1856,13/02/2014,17°,12°,22km/h,10°,0mm,65%,10km,10%,17,11°C,1020hPa,07:10:00,17:57:00,10:47:0
1857,14/02/2014,19°,17°,30km/h,17°,72%,10km,9%,19,13°C,1019hPa,07:09:00,17:58:00,10:49:0,
1858,15/02/2014,21°,17°,14km/h,17°,72%,10km,0%,25,14°C,1018hPa,07:08:00,17:59:00,10:51:0,
1859,16/02/2014,23°,17°,14km/h,17°,52%,10km,0%,25,11°C,1018hPa,07:07:00,18:00:00,10:53:0,
1860,17/02/2014,22°,17°,18km/h,17°,49%,10km,4%,25,10°C,1018hPa,07:06:00,18:01:00,10:55:0,
1861,18/02/2014,21°,17°,28km/h,17°,0mm,68%,10km,24%,24,11°C,1016hPa,07:04:00,18:02:00,10:58:0
1862,19/02/2014,17°,15°,16km/h,16°,1mm,72%,10km,20%,18,12°C,1016hPa,07:03:00,18:03:00,11:0:0
1863,20/02/2014,15°,14°,36km/h,11°,1mm,72%,10km,45%,15,11°C,1017hPa,07:02:00,18:04:00,11:2:0
1864,21/02/2014,16°,14°,32km/h,12°,1mm,74%,10km,43%,16,10°C,1018hPa,07:01:00,18:05:00,11:4:0
1865,22/02/2014,16°,15°,26km/h,13°,2mm,74%,10km,38%,16,11°C,1022hPa,07:00:00,18:06:00,11:6:0
1866,23/02/2014,15°,13°,26km/h,10°,1mm,69%,10km,21%,15,7°C,1023hPa,06:58:00,18:07:00,11:9:0
1867,24/02/2014,16°,12°,14km/h,13°,0mm,67%,10km,6%,18,8°C,1022hPa,06:57:00,18:08:00,11:11:0
1868,25/02/2014,16°,13°,10km/h,14°,1mm,68%,10km,20%,17,10°C,1021hPa,06:56:00,18:09:00,11:13:0
1869,26/02/2014,15°,13°,14km/h,13°,1mm,80%,9.75km,47%,16,10°C,1024hPa,06:54:00,18:10:00,11:16:0
1870,27/02/2014,15°,13°,18km/h,12°,0mm,73%,10km,58%,15,8°C,1025hPa,06:53:00,18:11:00,11:18:0
1871,28/02/2014,15°,12°,21km/h,9°,0mm,73%,10km,18%,15,7°C,1024hPa,06:52:00,18:12:00,11:20:0
1872,1/03/2014,13°,11°,33km/h,8°,3mm,66%,9.875km,37%,13,6°C,1010hPa,06:50:00,18:13:00,11:23:0
1873,2/03/2014,14°,12°,40km/h,10°,4mm,76%,9.75km,69%,14,9°C,1004hPa,06:49:00,18:14:00,11:25:0
1874,3/03/2014,16°,12°,20km/h,12°,2mm,72%,10km,40%,16,11°C,1006hPa,06:48:00,18:15:00,11:27:0
1875,4/03/2014,13°,11°,46km/h,7°,1mm,71%,10km,36%,13,7°C,1004hPa,06:46:00,18:16:00,11:30:0
1876,5/03/2014,14°,13°,43km/h,10°,4mm,74%,9.875km,55%,14,8°C,1010hPa,06:45:00,18:17:00,11:32:0
1877,6/03/2014,15°,13°,26km/h,11°,2mm,74%,10km,44%,15,8°C,1016hPa,06:43:00,18:18:00,11:35:0
1878,7/03/2014,14°,13°,30km/h,11°,2mm,74%,9.75km,39%,15,9°C,1021hPa,06:42:00,18:19:00,11:37:0
1879,8/03/2014,15°,14°,27km/h,12°,1mm,69%,10km,36%,16,9°C,1022hPa,06:41:00,18:20:00,11:39:0
1880,9/03/2014,14°,8°,15km/h,13°,3mm,71%,9.875km,46%,15,9°C,1022hPa,06:39:00,18:21:00,11:42:0
1881,10/03/2014,14°,13°,22km/h,11°,2mm,74%,9.875km,39%,14,8°C,1020hPa,06:38:00,18:22:00,11:44:0
1882,11/03/2014,14°,12°,10km/h,11°,0mm,74%,10km,43%,15,8°C,1022hPa,06:36:00,18:23:00,11:47:0
1883,12/03/2014,15°,13°,21km/h,13°,0mm,72%,10km,16%,15,9°C,1026hPa,06:35:00,18:23:00,11:48:0
1884,13/03/2014,13°,12°,31km/h,9°,3mm,90%,9.625km,74%,13,10°C,1025hPa,06:33:00,18:24:00,11:51:0
1885,14/03/2014,15°,13°,35km/h,11°,5mm,90%,7.5km,95%,15,12°C,1021hPa,06:32:00,18:25:00,11:53:0
1886,15/03/2014,15°,14°,22km/h,12°,5mm,88%,9.25km,67%,15,12°C,1019hPa,06:30:00,18:26:00,11:56:0
1887,16/03/2014,15°,10°,35km/h,12°,1mm,77%,10km,38%,15,11°C,1021hPa,06:29:00,18:27:00,11:58:0
1888,17/03/2014,17°,15°,14km/h,14°,0mm,77%,10km,34%,17,13°C,1024hPa,06:27:00,18:28:00,12:1:0
1889,18/03/2014,20°,16°,10km/h,18°,77%,9km,1%,24,15°C,1024hPa,06:26:00,18:29:00,12:3:0,
1890,19/03/2014,20°,17°,10km/h,20°,0mm,67%,10km,16%,21,14°C,1022hPa,06:24:00,18:30:00,12:6:0
1891,20/03/2014,20°,17°,15km/h,18°,1mm,70%,10km,28%,20,12°C,1021hPa,06:23:00,18:31:00,12:8:0
1892,21/03/2014,20°,17°,13km/h,17°,1mm,72%,9.875km,28%,20,12°C,1021hPa,06:22:00,18:32:00,12:10:0
1893,22/03/2014,19°,16°,16km/h,17°,1mm,69%,9.875km,34%,19,11°C,1021hPa,06:20:00,18:32:00,12:12:0
1894,23/03/2014,20°,17°,28km/h,17°,4mm,76%,9.5km,54%,20,13°C,1017hPa,06:19:00,18:33:00,12:14:0
1895,24/03/2014,17°,15°,26km/h,14°,1mm,68%,10km,57%,17,10°C,1014hPa,06:17:00,18:34:00,12:17:0
1896,25/03/2014,17°,15°,25km/h,14°,1mm,64%,9.875km,56%,17,9°C,1015hPa,06:16:00,18:35:00,12:19:0
1897,26/03/2014,18°,16°,24km/h,16°,1mm,67%,10km,52%,18,10°C,1016hPa,06:14:00,18:36:00,12:22:0
1898,27/03/2014,15°,13°,49km/h,10°,1mm,69%,10km,34%,15,8°C,1013hPa,06:13:00,18:37:00,12:24:0
1899,28/03/2014,16°,14°,16km/h,12°,0mm,65%,10km,1%,18,10°C,1018hPa,06:11:00,18:38:00,12:27:0
1900,29/03/2014,17°,15°,27km/h,15°,0mm,66%,10km,17%,17,11°C,1018hPa,06:10:00,18:39:00,12:29:0
1901,30/03/2014,15°,14°,26km/h,12°,1mm,81%,10km,75%,15,11°C,1016hPa,06:08:00,18:40:00,12:32:0
1902,31/03/2014,16°,14°,9km/h,15°,2mm,84%,10km,57%,16,12°C,1019hPa,06:07:00,18:40:00,12:33:0
1903,1/04/2014,19°,16°,12km/h,16°,0mm,78%,8km,14%,21,14°C,1019hPa,06:05:00,18:41:00,12:36:0
1904,2/04/2014,22°,19°,18km/h,19°,0mm,68%,10km,34%,25,13°C,1016hPa,06:04:00,18:42:00,12:38:0
1905,3/04/2014,23°,19°,29km/h,19°,1mm,65%,10km,21%,25,13°C,1010hPa,06:03:00,18:43:00,12:40:0
1906,4/04/2014,19°,14°,23km/h,13°,2mm,78%,9.75km,36%,19,11°C,1008hPa,06:01:00,18:44:00,12:43:0
1907,5/04/2014,17°,16°,40km/h,16°,1mm,68%,9.875km,62%,17,11°C,1013hPa,06:00:00,18:45:00,12:45:0
1908,6/04/2014,18°,17°,30km/h,17°,2mm,72%,10km,30%,18,12°C,1019hPa,05:58:00,18:46:00,12:48:0
1909,7/04/2014,19°,16°,19km/h,16°,0mm,78%,10km,31%,19,13°C,1022hPa,05:57:00,18:47:00,12:50:0
1910,8/04/2014,21°,18°,8km/h,19°,63%,10km,9%,24,13°C,1023hPa,05:56:00,18:47:00,12:51:0,
1911,9/04/2014,21°,19°,21km/h,20°,62%,10km,2%,24,13°C,1021hPa,05:54:00,18:48:00,12:54:0,
1912,10/04/2014,19°,17°,17km/h,17°,63%,10km,8%,19,11°C,1020hPa,05:53:00,18:49:00,12:56:0,
1913,11/04/2014,21°,17°,9km/h,20°,67%,10km,3%,25,14°C,1020hPa,05:51:00,18:50:00,12:59:0,
